year,country,iso,trade,exports,imports,ggfce,gfcf,industry,manufact,unempl,agriculture,rgdp_growth,infl_cpi,oil,gold,copper,sp500
1991,Alemania,DEU,47.8173792407618,23.6649009963425,24.1524782444192,18.6769453903393,24.8909698574852,33.5241518476479,24.8467650397276,5.32000017166138,1.10152604363728,5.1082615219023575,4.047036816373861,23.64830939,442.1598013,2855.233495,706.83
1992,Alemania,DEU,44.8908381608169,22.1946934890662,22.6961446717507,19.2211202895315,25.2011679964279,32.5158925067271,23.3767904774215,6.32000017166138,1.00542871579145,1.923076559053838,5.05697932185194,22.7949621,411.9371726,2733.786571,880.66
1993,Alemania,DEU,40.5767352603533,20.3134405930698,20.2632946672835,19.3518153624728,24.0562228352438,30.6064915557231,21.3216135793796,7.67999982833862,0.96156811678632,-0.9768498181607299,4.4745750548675245,19.51014539,416.7737757,2216.194195,892.12
1994,Alemania,DEU,42.0578830860048,21.1107102839496,20.9471728020551,19.3140389713317,24.1414008909295,30.1969883304638,20.8047334043891,8.72999954223633,0.975540433439917,2.391892070513535,2.6930573812172343,18.97370477,458.6313885,2755.786305,945.64
1995,Alemania,DEU,43.5816342149572,21.9942362808177,21.5873979341395,19.4241558948807,23.5390396968241,29.7680789186165,20.5386860620392,8.15999984741211,0.995455529106254,1.5441464955642248,1.7061605241945,18.69378419,417.9329987,3193.651713,904.8
1996,Alemania,DEU,45.005620959935,22.8600276884323,22.1455932715028,19.7125503544328,23.0273032924252,28.8559264695167,20.0593844007953,8.81999969482422,1.04216760869792,0.8058228914903598,1.4497264733013049,22.64645904,429.9675714,2545.072356,1163.16
1997,Alemania,DEU,49.6426586441629,25.3602733090279,24.282385335135,19.3548683170589,22.6506386558907,28.5781301787217,20.228896310838,9.85999965667725,1.03138464676338,1.792160820945865,1.939369424523818,22.31211275,385.3440666,2649.802377,1407.69
1998,Alemania,DEU,51.5849723493611,26.4069062062529,25.1780661431082,19.0981523217601,22.7982247991978,28.3844977710706,20.4098450174244,9.78999996185303,0.975317957526236,2.0139327851931066,0.91118530123524,15.89910408,357.9864969,2012.948297,1742.49
1999,Alemania,DEU,53.3658496319459,26.9592324276031,26.4066172043428,19.2467030512557,23.038679666712,27.6544079087925,19.9946102899761,8.85000038146973,0.958397265329112,1.8872611539946238,0.5854331439446137,22.42347394,345.9033778,1951.648771,2221.61
2000,Alemania,DEU,61.5260610026125,30.8477115722895,30.678349430323,19.0445168295331,23.1143289285901,27.712378324301,20.5459700629181,7.92000007629395,0.994789221891906,2.912502963666852,1.4402681867679457,35.48246795,350.7201759,2279.383672,2468.57
2001,Alemania,DEU,62.0628388890423,31.8447071170151,30.2181317720272,18.9489261417511,21.7781951080302,27.0691909009731,20.3411674813812,7.76999998092651,1.08343229583805,1.6814684809710378,1.9838569361783742,31.8004934,353.878578,2061.050772,2229.58
2002,Alemania,DEU,60.9348898149328,32.5925791130602,28.3423107018725,19.2315706148891,20.1217858897603,26.3787236365621,19.7899113788146,8.47999954223633,0.900496788164431,-0.1979738347713922,1.4208056051885132,32.93713439,409.5668123,2060.543905,1881.87
2003,Alemania,DEU,61.8493197140493,32.8117129460067,29.0376067680426,19.3256374430834,19.5233250586687,26.1867813363357,19.8395709835095,9.77999973297119,0.832259435604571,-0.7001166861143715,1.0342277655106313,36.29696071,456.5667373,2234.602113,1441.11
2004,Alemania,DEU,66.2261991054223,35.713363859767,30.5128352456553,18.8173806198398,19.0910135601011,26.4048494598943,20.0338560543111,10.7299995422363,0.951063416014002,1.1750881316096695,1.6657334093268528,44.37860746,481.2777578,3370.595366,1787.42
2005,Alemania,DEU,70.9187129366213,38.0595723481521,32.8591405884692,18.7759088585026,19.0766985242384,26.3532912935747,20.0697457949316,11.1700000762939,0.726955700932129,0.7317071635544181,1.5469096515903447,60.87616006,507.2071291,4194.635171,1810.81
2006,Alemania,DEU,77.4497291495463,41.4329079108458,36.0168212387006,18.3277709762356,19.8028996930921,26.9743991815788,20.6597682258037,10.25,0.737585322085632,3.8164419129879112,1.5774282586422217,71.49005651,672.0356633,7475.171698,1884.86
2007,Alemania,DEU,79.8744173951311,43.3227580964574,36.5516592986738,17.8550539097037,20.0565301754316,27.2365025704627,20.8541537476746,8.65999984741211,0.77886019483507,2.9764551313159915,2.298341796962333,74.52244763,730.0873252,7459.129515,2056.54
2008,Alemania,DEU,81.5248047312183,43.7991902579629,37.7256144732553,18.2555596134287,20.3029660434559,26.8486819111797,20.0495584117746,7.51999998092651,0.83833040773771,0.959879133564745,2.6283817487398053,94.31758367,847.6846772,6764.189183,1909.26
2009,Alemania,DEU,71.2287128996251,38.1199069398503,33.1088059597748,19.9916998196857,19.2675397529572,24.7358048517212,17.6833501653903,7.73999977111816,0.695334317361279,-5.693836336402692,0.3127376298717621,64.02194964,1008.650896,5338.612943,1198.27
2010,Alemania,DEU,79.8686242395882,42.565473405085,37.3031508345032,19.5632116674466,19.5425050694119,26.8488925284667,19.6952113554828,6.96999979019165,0.803696771174544,4.179882498736398,1.103809161158087,79.04077178,1224.66425,7534.779583,1515.63
