país Code,"tiempo Code","NY.GDP.MKTP.KD","NE.TRD.GNFS.ZS","NE.EXP.GNFS.ZS","NE.GDI.FTOT.ZS","NE.CON.GOVT.ZS","NE.IMP.GNFS.ZS","NV.IND.TOTL.ZS","NV.IND.MANF.ZS","FR.INR.RINR","FP.CPI.TOTL","FM.LBL.BMNY.GD.ZS","FM.LBL.BMNY.ZG","SL.UEM.TOTL.NE.ZS","SL.UEM.TOTL.ZS","SL.EMP.TOTL.SP.NE.ZS","SL.EMP.TOTL.SP.ZS"
SWE,"YR2011","468113753183.843","85.7910274001081","45.2711911918356","22.8939846911335","24.9371966292059","40.5198362082725","23.6323618761744","14.5970457938172","","102.961150738221","63.214244998196","6.64863971977526","7.80000019073486","7.80000019073486","65.4000015258789","58.4550018310547"
SWE,"YR2012","465359818585.788","85.2822510623587","45.027525416194","22.7235227830726","25.7501697796951","40.2547256461647","23.0032652201953","13.9204656264911","","103.87583444225","65.0788680783717","3.36892606915059","7.98000001907349","7.98000001907349","65.4599990844727","58.3959999084473"
SWE,"YR2013","470887249502.535","80.8156652769752","42.5268091342415","22.4454837991551","26.1965782564076","38.2888561427337","22.0683391272751","13.3049639898385","","103.829824749908","66.1556801513915","3.81599354340264","8.05000019073486","8.05000019073486","65.7399978637695","58.7470016479492"
SWE,"YR2014","483402482698.498","82.9335316938536","43.2661612480684","23.2284677401177","26.0843332757286","39.6673704457852","21.7861212754181","13.0628667603369","","103.643306416286","65.9838506485537","4.1774057955312","7.94999980926514","7.94999980926514","66.2300033569336","58.8940010070801"
SWE,"YR2015","505103781349.757","83.7238145087279","43.7667675162599","23.7534356538128","25.7181954103655","39.957046992468","22.1580717620356","13.6051656272665","","103.594817159687","65.9483812818774","6.64832835273634","7.42999982833862","7.42999982833862","66.6500015258789","59.2449989318848"
SWE,"YR2016","515562425649.407","82.3206450872032","42.691478270481","24.2105208321301","26.3653867889036","39.6291668167222","21.7132563735113","13.1918666029752","","104.614469083966","69.2697740967164","8.84685293256139","6.98999977111816","6.98999977111816","67.0500030517578","59.5919990539551"
SWE,"YR2017","528801679620.708","84.9347494342818","43.734721932138","25.1364837125472","26.0224116526064","41.2000275021437","22.1283718774148","13.045529453023","","106.491774734342","72.778304613917","10.0639182390636","6.71999979019165","6.71999979019165","67.8399963378906","59.9980010986328"
SWE,"YR2018","539113433181.757","89.1311983954621","45.6830615126713","25.1796385730316","26.0593881166604","43.4481368827908","22.0024372937424","13.0314441545337","","108.572129146727","72.3771235708756","3.81822692075168","6.3600001335144","6.3600001335144","68.3300018310547","60.2949981689453"
SWE,"YR2019","549821281946.735","91.4338289680865","47.8092109523511","24.4097623998959","25.7532300951814","43.6246180157354","21.9037119434159","12.8044115803588","","110.509219846432","74.0884609314089","7.05650936347593","6.82999992370605","6.82999992370605","68.3399963378906","60.0289993286133"
SWE,"YR2020","533611847447.428","84.5333337078048","44.5566766516798","24.7787275086443","26.7452441460086","39.976657056125","21.1099172605382","12.1233853928861","","111.058856590269","88.6614599089553","18.1336929341906","8.28999996185303","8.28999996185303","67.2099990844727","59.0320014953613"
SWE,"YR2021","","","","","","","","","","113.461278849041","","","","8.66100025177002","","59.2060012817383"
TUR,"YR1960","68945226535.3849","5.72687224669604","2.05580029368576","","8.37004405286344","3.67107195301028","17.3274596182085","12.7753303964758","","5.39523850896861E-05","14.6989720998532","","","","",""
TUR,"YR1961","69742281192.0531","11.9610570236439","5.14603616133519","","9.31849791376912","6.81502086230876","17.2461752433936","13.2127955493741","","5.56642171150972E-05","15.2712100139082","9.69030969030969","","","",""
TUR,"YR1962","73627922579.9898","13.574097135741","5.60398505603985","","9.83810709838107","7.97011207970112","17.0610211706102","13.0759651307597","","5.7828620142003E-05","14.9439601494396","9.2896174863388","","","",""
TUR,"YR1963","80303255012.9827","11.1587982832618","4.18454935622318","","9.44206008583691","6.97424892703863","16.9527896995708","12.8755364806867","","6.15080857623318E-05","14.5922746781116","13.3333333333333","","","",""
TUR,"YR1964","84687055315.0901","9.9403578528827","4.47316103379722","","9.84095427435388","5.46719681908549","17.8926441351889","13.3200795228628","","6.21967535500747E-05","15.934393638171","17.8676470588235","","","",""
TUR,"YR1965","87078219341.3797","9.93500464252553","4.54967502321263","","10.3064066852368","5.38532961931291","19.3129062209842","14.6703806870938","","6.50301476083707E-05","17.6880222841226","18.8396756082346","","","",""
TUR,"YR1966","96842139012.2061","9.77147360126084","4.09771473601261","","9.9290780141844","5.67375886524823","19.6217494089835","14.736012608353","","7.05394992526158E-05","18.4712371946414","23.0446194225722","","","",""
TUR,"YR1967","101425203161.407","9.09090909090909","4.11931818181818","","10.15625","4.97159090909091","20.4545454545455","14.9857954545455","","8.03973187593423E-05","19.2542613636364","15.6569965870307","","","",""
TUR,"YR1968","108299799385.208","8.76190476190476","3.68253968253968","11.8730158730159","9.96825396825397","5.07936507936508","21.4603174603175","15.7460317460317","","8.52583333333333E-05","19.8285714285714","15.1973441534489","","","",""
TUR,"YR1969","112719671905.255","8.33333333333333","3.5958904109589","11.9292237442922","9.81735159817351","4.73744292237443","22.0890410958904","16.0958904109589","","8.94566190209268E-05","20.8618721461187","17.034902337496","","","",""
TUR,"YR1970","116364472610.572","10.7888040712468","4.42748091603053","13.2315521628499","10.5852417302799","6.36132315521628","21.9338422391858","16.0814249363868","","9.65451186472347E-05","22.6732824426845","21.8960328313953","","","",""
TUR,"YR1971","122842127308.023","13.5670103092784","5.31958762886598","12.5773195876289","11.4639175257732","8.24742268041237","22.7216494845361","16.6185567010309","","0.000114899705717489","23.5406185566495","28.1305411533122","","","",""
TUR,"YR1972","131964123656.633","14.5624351435489","6.01867865790384","15.6347284676582","10.7575233483224","8.54375648564511","23.728813559322","17.3642338291249","","0.000132613167974589","24.8855067449844","26.027397260112","","","",""
TUR,"YR1973","136269234814.594","16.1263736263736","7.03296703296703","15.6868131868132","11.2362637362637","9.09340659340659","23.7087912087912","17.5549450549451","","0.000151097010463378","25.3824175823832","28.4221060827811","","","",""
TUR,"YR1974","143892782275.042","17.0028237192416","5.72811617587737","14.7841871722469","10.5284388866478","11.2747075433643","22.5494150867285","16.5994352561517","","0.000187206418161435","23.4175070592729","25.6645597021734","","","",""
