mae_1,mae_2,mae_3,rmse_1,rmse_2,rmse_3,mape_1,mape_2,mape_3
1.9503639463346616,1.8544170860453586,2.3598744767115583,2.6204778788826366,2.627628649217109,3.3788466066693053,61.87835218205379,65.5001022776062,44.43529653612583
2.1081936120569225,2.1964728595283676,2.566203763985187,2.6311808564325347,2.9373389734751782,3.573158644285649,62.44526934466334,70.00416687322895,48.73180432024009
2.218042667546862,2.1901702473638442,2.4711004166751396,3.033538603009551,2.9410455599639205,3.2450920984685974,67.66344024241005,74.74705109582773,45.297123342280614
1.9764115494251466,2.1792932546093904,2.396131494243048,2.6164686402797703,2.963126836771946,3.368206282372962,59.865654481952205,70.000175628111,43.573544588437855
2.024312909469543,2.024446975891596,2.3162649713727395,2.729504917952444,2.884241945640172,3.221512328416311,63.2203306595987,69.72431804740242,43.35324231876613
2.042207473396097,1.7247397799785809,1.8705667502054308,2.7380287503614853,2.217500378931283,2.61277900995804,63.7310166410665,66.96395766893691,37.07584465285373
1.6459956832134122,1.899275007135317,2.4121769179416765,2.1503009673197098,2.451934851899287,3.098386346288727,50.3777768361073,72.65150271853068,52.17962840909888
2.150372923361939,2.3137077590324036,2.533827123490876,2.792375712238011,3.095463742272004,3.761374289843353,64.55781753076982,69.53621226817833,49.074521300285355
1.5528435050415923,1.6065909151875488,1.8593776611420079,2.20201318121212,2.214843590469853,2.6472737320806914,46.15071242095588,59.75134520468098,34.94861531124841
2.1515396460829157,2.0649057339988013,2.350569232462587,2.8853468401360254,2.845276603036493,3.2286351559493225,71.92377801190152,72.47981716070366,45.902638160577865
1.7974218345164599,2.0320371185638018,2.216172206692229,2.313680385071125,2.663708300205566,3.1679705254354826,58.69957176827929,79.34532739677293,44.769479018139634
2.307556934425307,2.2667608327095587,2.441195799533849,2.9919547539074784,2.957188836620946,3.341212261645046,69.76144748375066,74.37103623825483,47.271744617360234
1.967020493710685,2.015154806785364,2.3923150042234145,2.6506350057406287,2.73923252138805,3.435141685565662,61.53300958828915,68.56328186833005,43.72822709586107
2.124330546309352,2.3055795417974094,2.8130400445731008,2.7809757236385124,3.1976178011091956,4.132414872759659,65.11046402359179,77.31645351165372,52.08586214990358
2.094887501358135,2.0598677710580984,2.3715625933197555,2.9279554134064876,2.920068254248887,3.4090580285494916,63.65105732345719,71.71896076642864,45.74186830698729
2.0117490689682156,2.283896335516574,2.5126737096370326,2.664603464016893,3.066468926084522,3.5469898499143184,60.36963938610919,71.49082989697203,48.726399800311455
1.8918346194293751,2.023587506686007,2.3666104691183256,2.4638282142044785,2.929305510811231,3.547467836153152,58.26646159215761,71.22166312877896,46.02931904759428
1.964766521101469,1.948769862497032,2.235010224664691,2.7248026242373298,2.840869673258898,3.244942876132414,65.49312837404469,70.87248370403817,41.02032356122515
2.3185691380417897,2.331931150498872,2.593811209990494,2.9101851095263918,3.034159042689766,3.4558350488534244,70.06307864337461,73.14457400058525,46.45726571328554
2.2987172752810507,2.1614207217715946,2.402529420824062,3.0278674000394172,2.97961160496487,3.4541599025128207,73.79385010320122,71.30505720612848,41.17631273831758
2.0528507377949556,2.2159033081899366,2.5675567610841825,2.687023558015719,2.878878337349535,3.4185555989070955,62.00509129842089,73.44198886308372,47.74891593037553
1.9260480510808482,2.0082106578342893,2.167925694160286,2.513796711253541,2.488349717772122,2.827351546486776,65.07291011735362,79.22779917140011,50.65615609534975
2.044104014247251,2.1291919157109387,2.4273409337075877,2.7427930054885103,2.947376425631338,3.3848634718643837,64.38920193418622,74.30470846125408,44.74201888097686
1.890539885892696,1.980342726293473,2.3688649252299085,2.503778806134707,2.6079994265461797,3.2014083899443464,55.19692008780619,61.807789931344814,45.071108335746175
2.00792608797906,1.914101543283179,2.294372790744941,2.71472956231702,2.7416271217589765,3.3153163589558594,61.721779095745646,65.57431911920702,40.398459592539325
1.9528764320518122,2.317027595612754,2.6513612043805246,2.750104244079261,3.1813934767389176,3.6607868669978467,65.58561828959901,81.24586501149918,52.44865766614898
2.1458019385214913,2.0214174199244055,2.142704961153833,2.7980685862285504,2.4779579668696052,2.8996562711773572,70.47272763752224,74.95678278812203,47.813294667252634
1.830364441751276,1.6510526266159968,1.9567963580749919,2.3214263045378916,2.156762938689461,2.730595210143629,54.68901065794828,60.508393690329356,39.94194551400434
1.9153462432379098,2.0729053310619117,2.4405190509900994,2.54323396503083,2.844738868050991,3.441499393110818,56.67114217835824,67.53817487629719,46.13085739679356
1.8671553957687088,1.7466940391352312,2.288995935266052,2.5344451640690404,2.2859302396361705,3.159070384778873,58.701806431949606,69.3932145112964,50.801414980283326
