mae_1,mae_2,mae_3,rmse_1,rmse_2,rmse_3,mape_1,mape_2,mape_3
1.9428989402470855,1.9671876650186877,2.973977389286743,2.4492650843710884,2.525948289954308,4.105291571700874,51.565098396349796,76.97794226887947,52.33982287333076
1.9548436144757466,1.9765548620051614,3.082170467499796,2.497159353170304,2.5319517184744655,4.251425910184194,52.446346398645446,77.80406684321467,54.469605520392136
1.9308834840627742,1.9913509320301557,3.1954238059813957,2.4310346693811713,2.507843209325604,4.485658976725781,53.04558097717504,77.71792105725054,56.53032022760866
2.28929430469086,2.1340971999541525,3.2658714657645,2.8706351149218214,2.7979519735466867,4.755511916378113,59.01938391508329,88.80556268117975,54.77227498530326
1.9649023149436444,1.9973552840290882,3.0532357705092092,2.4767081681179697,2.5587865128257503,4.193295729639875,53.54750643111201,78.08267591148476,53.128737994664746
2.099928833525767,2.042304905497742,3.4467253007149523,2.6666013487080598,2.6068024811640216,4.922305072389349,55.37965721614538,80.81190178367999,60.06606097630305
2.0468259590080433,1.9687296344049863,3.093583135388709,2.6130297688850166,2.5673527785447705,4.386684466721329,53.301446568127915,80.49273878403586,53.36405962862189
1.8480284797129862,1.9655827320261914,3.181487955001578,2.3718436589883503,2.4926129884992783,4.346056954414034,50.02383923820915,76.37875933788662,56.40411749528116
1.7901737399646553,1.930125028840785,3.0884638629053383,2.289162367897613,2.431822251330617,4.2417592374928415,46.6943380418458,75.00421936228575,54.09887064302518
1.9671454382289988,1.9747643402281043,3.345999466920522,2.520712525207043,2.584049681255759,4.603778865930607,51.117022895506565,80.80650090344123,58.54781754018992
1.7096163904172514,2.0172422405694723,3.237290314184436,2.1965941179626727,2.583504189297197,4.503648946874462,47.12962170023866,80.25119186562543,57.39753335440149
1.9556253434585407,2.018466229397365,3.2657061424856417,2.4872555370794465,2.5607191854742846,4.560964861737867,54.42121834538451,80.08610081597126,57.2658918309962
1.8671372960303436,2.0227318452158403,3.0197035379748516,2.4051755223393805,2.5876009157913256,4.136528668410046,49.9984807869939,80.69058405583478,53.76989669453617
1.9218933110420728,1.9985489015835214,3.087630861512397,2.4531377811443607,2.563917433790545,4.288240633593526,51.65124392373955,79.14274840113296,54.08722887257748
2.262888743160274,2.017952041953607,3.1976251475889486,2.818861500804123,2.567711676234927,4.524700588848214,59.582205630984525,77.59486010221848,54.31839779549754
1.824268418025241,1.9839988153562529,3.079955545737054,2.325702232520735,2.5516477510623825,4.229772394283014,48.92325268318986,78.90056838797814,55.079310200862324
2.0027542440397155,2.0225100684711803,2.9930214127593215,2.5107791849124133,2.5599207388093523,4.175359598663931,54.79657484605534,78.47405924191365,52.14796750916024
1.8861034187584018,1.9996848627609058,2.9923803751869626,2.419978020328967,2.5368117912693724,4.124623849737782,51.18239058933532,78.61173068507739,52.13708962117207
2.1805025115467522,2.15513333661427,3.0112782436430185,2.7258688455603206,2.78834223823048,4.3239971976385645,58.142297458839266,87.06694447052925,51.44100914580402
2.0976837210536194,2.004851887231079,3.418857855067265,2.6540601297662,2.5932650960142967,4.800911341464607,53.72766227080105,78.89505248076071,59.427545021755805
2.2881345746661994,2.0831406760600517,3.2347078951424963,2.8682061436115927,2.67979888099807,4.569299120114622,61.21320673677799,82.1991516003762,56.28931869849532
2.1455076014408845,2.022183340218828,3.114323714069633,2.681766562815371,2.5895115058893223,4.353737312246851,56.43934491196917,81.39173402164523,53.9582643207527
1.8763329034581833,1.97523277719589,3.0150686461903686,2.3944452244366015,2.5069657604596847,4.169650424448129,50.15083919721217,78.0988913605038,52.2853588820373
1.8747403545049792,1.983513150754598,3.0281319485313998,2.403435504552802,2.507862420473105,4.215669304682973,51.05121990544498,77.71359709074792,53.70827882878895
1.9401500748082714,1.8930593794520518,3.14237848883059,2.4477743356990125,2.4590427490000346,4.332392243857212,51.880625810018024,75.43338542987384,55.414823276015035
2.186210074262433,2.12622410875544,2.981182975849446,2.762566323754718,2.7146198884082238,4.3014874327076855,58.75898257563375,84.35533743140758,51.27052873021911
1.885604174634188,2.0354713520255685,2.9518516739328278,2.4148897368647595,2.607190547665686,4.032795219457528,49.17325076846568,79.96082247146205,51.317527724196886
1.8679654355500879,1.954287656364426,3.2282458815919925,2.40585444567082,2.4995193811590655,4.4619497778434525,50.79349187795935,77.35491992721968,57.068287144327975
1.8992634432236062,2.074293126799632,3.1054159426616983,2.40960815383275,2.6242666747375103,4.3111585869732085,51.56997364911825,81.12578109128785,55.05441520186133
2.079671134614262,2.138856246795569,3.102619768150583,2.598204557798103,2.8002809082979865,4.518049735093699,54.99423481252482,87.6862795415574,53.49834813521453
