mae_1,mae_2,mae_3,rmse_1,rmse_2,rmse_3,mape_1,mape_2,mape_3
1.9610315558573368,1.9111818792953734,2.7798316913115286,2.4667006459499707,2.353350709743453,3.751109523298618,55.488202627047485,61.52554207635512,74.53988068523869
2.023253064747662,2.035583859578149,2.729724578248528,2.5483660831896593,2.661568046872958,3.88545301022491,60.139196537351054,69.77143031484526,68.79759636552681
1.872606662097396,1.5088003813910338,2.8171937724845337,2.353787720418725,1.982634991383642,3.7745630887994155,58.58737371785937,46.77972906554643,64.3179871513864
2.283869647319687,2.3847756197892696,3.331404235592516,2.7128736961318376,2.9504656161528215,4.352082735561741,65.73922016274349,78.93229690209795,86.87138212028114
1.8608965650564393,1.9276128837841209,2.6625201400028837,2.415381924622155,2.3867592054592577,3.71558714756807,53.91772107764312,61.272267058093995,67.33769770095506
2.1641506070267456,2.302557308313276,3.3058513235653932,2.786584166528245,2.837267837981945,4.4333537634990146,57.92202737041119,78.8236723820122,85.30034362948928
1.9388509461441135,2.1545092813036373,2.5688485345645744,2.504980414863234,2.720945903425863,3.79389807837263,54.99610675491412,69.33770545113788,59.648346852333376
2.1788445278260964,2.3555690563062432,3.0770042945227343,2.593441587300805,2.8663349750562164,4.44682064684959,60.527949994513946,71.5005537093637,72.80767422103749
2.3455417602733575,2.2091543159522953,2.8622483156500977,2.930112152594251,2.678191295435858,3.8023969256960206,74.4648430458117,77.67557444469702,71.87780496597422
1.8695273370431535,1.8531939273163274,2.6060998910859223,2.480482216037599,2.263966194921235,3.501733553666959,51.702080634259104,58.54490071364629,65.59054810765048
2.0424265515929707,2.0120219182114356,2.4627026691236376,2.5752813970788644,2.596925833243046,3.235299704754502,64.85831445640129,68.09680901390452,64.59584611366724
2.070263151866436,1.8555403108803765,2.5197330141967456,2.551982696765448,2.291502250429301,3.4482937443829385,58.40702778841266,66.33003342170511,62.37951789934893
1.79504654553515,1.972737733228622,2.668277252869078,2.2654039245040485,2.590619175976609,3.612934953227524,52.97142635596058,70.22036224978658,67.90269937419984
1.925031950877555,2.0118892499486054,3.3387583695322496,2.3771256882740595,2.506085461698119,4.300278152895178,54.23615760810757,64.90964633549473,77.50965826874439
2.0026393846767028,2.0307782286678284,2.539485054101322,2.3690612704283844,2.427181951054455,3.511516910344747,63.889223377471964,68.87071240041868,61.81241530472469
2.023896450135574,2.4253379975212113,3.5655876123778363,2.7741472291002323,3.0985454514957693,4.565951201943895,53.908852041430464,77.26808948707746,85.57031750369367
2.043738085806747,1.8936598872369816,2.608845886023618,2.512297503059844,2.321829090737145,3.464072729377338,59.9131670088041,60.84544934676535,67.96199003687815
2.0943102025813656,2.1011176776073084,2.8049632544278262,2.524334979729969,2.5863842289504566,3.729858960763271,63.24605325691139,75.8148988658074,70.36245278353192
2.0530079624852955,1.7515887706940716,2.8982077115191673,2.513332134417593,2.0772014427224748,3.786925068425107,62.80157294584986,63.16695709716606,72.04624129945924
1.9885849779644018,1.7505456739579752,2.3442119180316494,2.6078905703874584,2.137749530855312,3.343321067138902,54.933638628393076,56.29681953068494,57.60384765000672
2.0904106188079217,2.247159090749819,3.025572226500344,2.5319639786647676,2.765507706792824,4.161230016258122,64.50895272616313,66.69346424098849,66.58652809944388
1.914293565721811,1.8122520348773787,2.480345136836185,2.423980974011213,2.1602188727076235,3.293667851537694,50.6032017949251,60.134236495389324,63.56864815886545
2.2012258778628238,2.2968803461707545,3.185542056178729,2.74357156322979,2.864709201112112,4.140175038290913,67.5050016532123,80.49473374133572,78.63249868534369
2.2023406336501865,1.902762538181443,3.0351258991210655,2.7607107945525184,2.4145396443932894,4.432200056466812,63.23678579474229,69.51383164746845,73.76510385442677
1.843957869504618,1.7390899055059432,2.5541747108121537,2.348887835875446,2.1781867856284736,3.4095118383779193,49.48760121666332,47.345090327520516,59.044239709606565
1.622763298220774,1.6655599376744674,2.189117893574882,2.1895384333920793,2.158189890932303,3.021893336764312,46.22367488570531,53.884975833317,54.20958057476594
1.8188023627195467,1.4187268512557853,2.150265912992177,2.255980007335521,1.9644418610945817,3.0394350105123733,47.814977671701435,49.72096031300329,51.10041938662677
1.9300123474687063,1.7645183803788185,2.33587186321214,2.5427938903511436,2.155417601800859,3.350658962515765,55.89931910441578,58.96000094770302,59.75627824800504
2.1220165764068994,2.0887103162997818,2.654382860186934,2.5991352304501274,2.635200467505014,3.7789676514353756,66.45952908491259,73.66383996560583,64.84674793044886
2.160749434418974,1.9701897150038115,2.6653822125033164,2.662269965351604,2.361440886706519,3.508107111282888,64.0745278452029,66.38144805330354,61.025837906657934
