mae_1,mae_2,mae_3,rmse_1,rmse_2,rmse_3,mape_1,mape_2,mape_3
1.5822524526390782,1.270806336640818,2.0374718764168387,2.0749619572061784,1.6898839786767783,2.7824122900804356,43.41581803273319,30.493808944503122,39.077465521487554
1.6474245667115461,1.3722045728496677,2.2434025087270237,2.1120487896294113,1.8174353188911936,3.0500142398775907,44.36345312420973,31.729729885123994,43.21827966265039
1.8512770424344556,1.714337158697543,2.4699700415806434,2.3368093250105844,2.1675751144124957,3.4628349688747107,50.10306442175245,41.65255141752539,47.43857730926753
1.598264699551309,1.3303785940149833,2.2279458723077474,2.0440119856915837,1.7946811461812076,2.996933742800313,44.3896792810652,32.26554811775807,43.24258385779482
1.5315188852744896,1.2661627041021881,2.188416002429067,2.0056368885851112,1.727927701502674,2.886908215552478,43.825944183341406,29.426488358441,43.32036709917878
1.7555595609634924,1.3466960730510815,2.3434620361322533,2.250486555121558,1.7510011698770842,3.087785984464668,49.21231418655936,33.31485386117182,46.6562874412884
1.6485044660215493,1.3459723016910232,2.113465435445071,2.145404724530557,1.794088359267358,2.9308222231144305,45.242252312068096,32.12196717217993,39.899402546799266
1.6885031234385846,1.4016718266091484,2.309582002743366,2.174777341139339,1.8851857305802973,3.1193818410987255,44.507937060650754,34.27940094208469,44.90175623406085
1.6255937242812741,1.3431745056974578,2.2487071681888766,2.1152292659521694,1.7767388932152781,2.949656406393806,43.69178108443505,32.460289187517894,44.67746187924528
1.7890238037648598,1.3975164857021705,2.317337072961841,2.251884115682843,1.8544842081613662,3.069665473197233,48.539344991079695,34.03643113848543,46.312134608715816
1.6408685680212767,1.4097555218678883,2.1764976912547906,2.1429791793923814,1.8706139319534674,2.978567066396157,43.28574934108874,34.28378660363279,41.834072376596765
1.6658771903738827,1.509558224562808,2.2619753419815964,2.1434189564275776,1.96776545750362,3.0091403641209817,45.54583537449139,38.84540545071784,44.93349469517532
1.7511772445503901,1.6116785679368948,2.569923243281085,2.217691640558678,2.0284724812753554,3.4176903877005183,49.68310053998747,40.28915315261154,50.54830693881616
1.5456476288244505,1.348198691057267,2.1437988531719783,2.0403653418873247,1.7891268194920158,2.933648528262563,41.95157615819774,33.38283178811567,41.4030361835405
1.9323468224021023,1.4365813450052445,2.303319981498277,2.4222801330697536,1.901836331030125,3.22228572627061,54.083070034589106,39.83003997966294,43.293900867868444
1.6341180051990023,1.307802655211804,2.2135785162896813,2.1219872744985397,1.8117041786579577,2.9818801706923406,44.12225698056574,29.87310034488351,43.04534537578179
1.5795679004412395,1.373321962417759,2.2647262491259683,2.063567685603086,1.817095637775859,3.073603430889306,43.74706792292017,32.934413667279244,43.73751336216634
1.6316671965417684,1.2829944822306458,2.120325879262842,2.125471292689747,1.733804562455631,2.873637480580639,43.42378846391339,29.807122219596106,40.838330275940365
1.5614346423697112,1.222634742601413,2.1512654622471694,2.054600981523321,1.6873168711366695,2.9339727795743364,42.7184856208802,28.247913454187255,41.578738690339954
1.7212988335060024,1.5197597867794634,2.3596698035958954,2.22547909402101,1.9960766662819722,3.132983643508165,45.43731091150765,35.3812805095403,47.28358325722722
1.924982487239273,1.4499565339305918,2.359741119203713,2.4174111283696686,1.8863784677634599,3.148073577927542,50.11961342756478,34.99627027419265,46.11643083199749
1.4706173134280307,1.2820794571361072,2.1528107394104437,2.02363756120527,1.7002921812805063,2.858018315596864,38.677889539924806,31.143648991732288,41.74981292616474
1.980620886355343,1.6300158224645114,2.4248376718009905,2.509818902755458,2.055875335976792,3.211762049281024,50.60080251428203,41.646897940966205,47.8434215873554
1.6054430567645752,1.3096213444105986,2.16200996836424,2.065753544596285,1.7876582670673131,2.925592443291411,44.70366730543585,30.801492032480535,42.13099782686082
1.5544972375891788,1.4340337678147097,2.2361528907628263,2.0338340021052597,1.8418618104935554,3.0112381570357325,44.03670937730236,36.04542743392638,43.40287686666126
1.6601330057153199,1.4577306729821946,2.334781705476946,2.1456121865368316,1.9245924810428021,3.0876714975430777,44.45431464800977,36.11576706799039,46.17411276004888
1.9213149969591392,1.5919175038811386,2.431720100564777,2.3363290881141667,2.0466413168083686,3.2451176464140574,54.35541164415351,40.43753422127283,46.737190098791274
1.62042859762091,1.3323000769060793,2.1911654100669393,2.0921409593499267,1.7802583471651894,3.04616364039025,44.49992402992608,31.63279004970234,40.841899642934955
1.6469447354030522,1.4458638699997646,2.274960714956534,2.1228303735744363,1.929602355886151,3.0427156860528703,44.12042906646741,36.283538388089184,44.32135814620824
1.6265821663337632,1.37378297977459,2.1188183282129973,2.1305555311526914,1.82746025442881,2.8748112753489643,44.40261235630709,32.25040083193703,40.24978501403573
