mae_1,mae_2,mae_3,rmse_1,rmse_2,rmse_3,mape_1,mape_2,mape_3
1.7698690543294142,2.556011573420364,2.783711320330366,2.2224487811600064,3.0165259896941325,4.1050809208671515,67.48584471005356,82.33627315479538,49.742364056031256
1.914507848819642,2.7540575461286236,2.868158965272627,2.3293070752223115,3.1336168725956535,4.103025460680058,72.17815813998135,89.94551833437129,54.37742745734033
1.8023286181999854,2.6765630264303195,2.8659306443614194,2.245954723090337,3.0930895804936034,4.155348505597077,69.3297415892912,86.79643681448053,52.485601685359924
1.7934645050559517,2.6249276872285434,2.8430140152309233,2.2480984222382085,3.0539257137259392,4.162668650103845,68.6532821733148,84.85144739920814,51.70292685793714
1.8259223327851237,2.6176555049385497,2.844865170782512,2.2788061895778435,3.065674742617092,4.120883490037302,70.48764959872365,84.04032614871585,51.33311941263776
1.7826859819745415,2.5831738586441206,2.9050313955440363,2.2206370391366708,3.0410295221155694,4.169425319509775,66.96804375903606,82.29654373729234,53.36911184439155
1.8886617557690422,2.6978877008454476,2.8171463207070038,2.3157383726547263,3.1199128179693614,4.14023997826578,70.14712113973822,86.6530753265624,51.21545670106715
1.9247147739581938,2.672491570936978,2.9233667458460877,2.3548555928429993,3.0738638129414655,4.178797998486929,71.22415020697214,85.77563834528786,54.187449803937476
1.8286949229047647,2.696733928303501,2.9189530468839076,2.2817752337479336,3.1306188083791646,4.123114653648577,68.3998687530721,87.0931164941807,54.693049870947014
1.9047627836018914,2.6148382721615366,2.94358794908815,2.36184432963341,3.1032038981201984,4.195281220939727,72.68388351155497,83.74205548008682,54.152161580540316
1.8733414192777307,2.7298600130244783,2.961547551184582,2.3321912479501883,3.191474305302516,4.169836448577151,72.62869464237043,88.4455686219905,55.50790947441642
1.8391789576802755,2.7135639633374207,2.82789299911975,2.2801478047147596,3.0978284499736684,4.127009684724989,70.15107917661251,87.8240590798099,50.85565363048498
1.9108699066476735,2.7289183102679417,2.8980931397254133,2.330562941598163,3.142051725190325,4.155238203783643,70.5834582843892,88.26108008882144,53.648280234943016
1.8937123896625376,2.7225839436100934,2.92736450991806,2.325258804923249,3.1251451608931777,4.20686655057092,70.87915477087657,87.55025291705678,54.47337033345683
1.7631674779261792,2.5472503556020487,2.8390923436667155,2.2486151193114514,2.9961177550131537,4.086678847352357,66.81830368436941,80.32126705315471,51.937396847710474
1.8068230463153057,2.6391807667720384,2.796034902937363,2.267455113365375,3.0662670292298286,4.067633301446949,68.71977927970775,85.19650098551665,50.821477595500504
1.9266318714317534,2.6946662332980846,2.8775482148348,2.3585593582291375,3.15625533936057,4.18171908518757,71.91952050795575,86.91943067999013,51.66304697244404
1.8976014775646477,2.6072146428343674,2.907577726360469,2.3346862600344216,3.0454217383617297,4.21193808749255,71.29151030511983,84.78087395519901,53.86327674790616
1.870976579565367,2.641349628619012,2.8054262511934263,2.3103034809819736,3.0832578260489725,4.058653120829012,69.74580531584715,83.59119338199015,50.80347864026381
1.8460989854421133,2.6468981848291007,2.7888254188444384,2.284295158646823,3.0934592641873855,4.0899679126423925,69.28665510239475,85.42737291277601,50.26702201621545
1.8714917584310247,2.634188627162647,2.899969391681048,2.3566769432631323,3.09951490871008,4.155467664441061,71.32932275802808,84.51854369261369,54.0265943957754
1.86120222998663,2.779616645668087,2.9248469924526597,2.3650039771061393,3.215465867737651,4.162998846454835,70.34417383658442,88.89868954320016,54.115619277794714
1.7859907339728032,2.691195584517417,2.8680615582257585,2.2566890327102973,3.112946860985608,4.134146429354095,68.17845497158562,86.77977841088075,51.956467108932884
1.8406367791440879,2.703133435630966,2.9259779748061487,2.2934759818497072,3.136051303736687,4.133410572409611,69.48158803684873,87.32509607192,54.29981086982966
1.8294319533416796,2.6560408473659396,2.90644384924748,2.270459721372924,3.0940452236826603,4.1745361604752045,69.06559903400534,85.21215783029885,53.81109282056368
1.8482367887019824,2.7054306606573433,2.870009091414877,2.333701192596473,3.1400308110366453,4.1510069396480525,69.95929062268956,86.12328105290625,51.943499269161386
1.844060288252917,2.6318614092683434,2.8168780913208886,2.2943726289965274,3.0457283157546966,4.137263093076703,69.12978328311074,84.29560567078127,50.44760418814445
1.823789522097142,2.569234937770659,2.8027256228814545,2.300273666629681,3.035477451806538,4.091582344520612,69.10805044621868,82.42818371589621,51.03365957096038
1.8875646199502985,2.6952630365752546,2.8541409675210505,2.3524916792041135,3.132342132827321,4.165777886574672,71.31358337600182,86.66661717805115,52.33930418568032
1.9000707982736347,2.68453910136996,2.9137873305257243,2.3721057162389316,3.107316549879131,4.173744887627555,71.75079343187625,86.46892871701807,54.13699324964515
